,0
0,-8913.762961320346
1,6924.191080642166
2,2045.4416667523328
3,-1057.1018892326392
4,11068.771833985345
5,-1319.3872713812161
6,7769.0461651310325
7,-2451.990498818923
8,-1351.8853021028917
9,12026.100005795714
10,1093.938322843518
11,-3233.2426012977958
12,-105.9187971802894
13,9675.297209062148
14,-5827.581945619779
15,-1288.9911586411763
16,0.0
17,0.0
18,0.0
19,-112.01558860880323
20,186.8928381204605
21,1606.8313583524432
22,-731.8475877991877
23,-2613.748376355972
24,1444.8283361322246
25,-9842.375751040876
26,1062.7901011980139
27,6391.425863472279
28,-3280.2725047243293
29,4227.035065504955
30,-15024.285746946465
31,-6086.700253677322
32,4277.721323939739
33,11678.83696037205
34,-4208.025334032485
35,-2678.254113723524
36,3127.685386632569
37,1822.317678896943
38,1589.3592842984945
39,2298.297628534725
40,9192.126726286951
41,3264.3887499962
42,-10159.903360688593
43,3219.0776992768515
44,2357.342951392522
45,-1290.7358403154649
46,0.0
47,303.703606888419
48,-165.43588839820586
49,449.73924698564224
50,27.38588480022736
51,723.6097871286329
52,190.32712707784958
53,264.09354052343406
54,-3312.1390232616104
55,-1344.983171888627
56,371.8642610774841
57,-2769.2075274523813
58,-1427.5266903303564
59,3665.0975483166985
60,270.35541971959174
61,7558.383033203194
