,0
0,1127624.0988103605
1,1137149.6578141078
2,1133923.6745599255
3,1136281.0587672158
4,1134293.0342970863
5,1133708.921533977
6,1140422.167357255
7,1137892.4375185412
8,1136022.8033861844
9,1129515.7734008112
10,1131396.7336478592
11,1125955.3164690337
12,1132221.4368885732
13,1130517.7567204305
14,1148526.3689474545
15,1158549.050850388
16,1167024.1862988442
17,1167358.6729099602
18,1158527.2659817361
19,1151873.4100599447
20,1152041.5064014187
21,1148455.4363684794
22,1158532.4134790478
23,1155292.1284515976
24,1156248.654815339
25,1155120.6526969245
26,1163024.546614429
27,1167956.590601532
28,1174888.7570695654
29,1181465.671976803
30,1185316.0205025133
31,1185659.533775473
32,1183015.4445508881
33,1193350.5232669879
34,1201803.521180704
35,1204002.5463465378
36,1208094.9967934133
37,1205198.0935343555
38,1200841.4147380847
39,1217196.68270818
40,1215157.0409249272
41,1216202.5222204847
42,1215193.1976227579
43,1210059.7417001375
44,1211800.0735749332
45,1212767.607101552
46,1217837.884207225
47,1218728.984915237
48,1214925.0466087721
49,1225270.211720934
50,1223269.3370708567
51,1223571.2963633314
52,1218140.3846948098
53,1206908.8841207002
54,1208299.0384462762
55,1209437.7023095535
56,1205517.684796901
57,1205922.4414668677
58,1213080.3197628635
59,1208821.491721564
60,1212043.078956172
61,1207103.7165841202
62,1206993.7365371701
