,0
0,1296210.7934102155
1,1297442.585415426
2,1303454.1599811334
3,1307400.0148872212
4,1299956.4151330995
5,1307562.0340097912
6,1311484.8303104164
7,1318168.9747157444
8,1320576.521063286
9,1325836.085105826
10,1319281.573393806
11,1316329.9405680597
12,1314885.225914081
13,1322218.0403941665
14,1328066.36629248
15,1333614.7940840083
16,1335014.7359179435
17,1326621.896437429
18,1330259.4160643704
19,1319740.2059740862
20,1318420.465815917
21,1318420.465815917
22,1318420.465815917
23,1318420.465815917
24,1318420.465815917
25,1318420.465815917
26,1318420.465815917
27,1318420.465815917
28,1318420.465815917
29,1318420.465815917
30,1318420.465815917
31,1318420.465815917
32,1318420.465815917
33,1318420.465815917
34,1317361.2778159168
35,1315720.9598159166
36,1317741.3678159167
37,1324433.0398159167
38,1324317.9918159167
39,1324697.9288159169
40,1314255.2862559168
41,1311217.0291059169
42,1309905.828745917
43,1310087.191745917
44,1310524.184745917
45,1308573.8647459173
46,1308465.1317459173
47,1312391.3787459172
48,1311443.498745917
49,1311443.498745917
50,1311443.498745917
51,1311443.498745917
52,1313174.9087459173
53,1312982.3967459174
54,1314511.5597459173
55,1316835.9997459173
56,1311182.1797459172
57,1311035.178745917
58,1307145.1657459168
59,1308060.8917459168
60,1310803.834305917
61,1321588.5256559167
62,1320266.9567859168
