,0
0,1378965.6318226673
1,1378174.5149703536
2,1378013.3507258534
3,1378013.3507258534
4,1378013.3507258534
5,1378013.3507258534
6,1378013.3507258534
7,1378013.3507258534
8,1378013.3507258534
9,1378013.3507258534
10,1378013.3507258534
11,1378013.3507258534
12,1378013.3507258534
13,1378013.3507258534
14,1378013.3507258534
15,1378013.3507258534
16,1378013.3507258534
17,1378013.3507258534
18,1378013.3507258534
19,1378013.3507258534
20,1378013.3507258534
21,1378013.3507258534
22,1378013.3507258534
23,1378013.3507258534
24,1378013.3507258534
25,1378013.3507258534
26,1378013.3507258534
27,1378073.1323847766
28,1378077.4002952462
29,1377768.381681706
30,1377542.561027827
31,1377542.561027827
32,1377542.561027827
33,1377542.561027827
34,1377542.561027827
35,1377542.561027827
36,1377542.561027827
37,1377542.561027827
38,1377542.561027827
39,1377542.561027827
40,1377542.561027827
41,1377542.561027827
42,1377542.561027827
43,1377542.561027827
44,1377542.561027827
45,1377542.561027827
46,1377542.561027827
47,1377542.561027827
48,1377542.561027827
49,1377542.561027827
50,1377542.561027827
51,1377542.561027827
52,1377542.561027827
53,1377542.561027827
54,1377542.561027827
55,1377542.561027827
56,1377542.561027827
57,1377963.8665002622
58,1377824.7092965243
59,1377824.7092965243
60,1377824.7092965243
61,1377824.7092965243
62,1377824.7092965243
