,0
0,1209168.3634625825
1,1195452.9351379187
2,1202008.262285935
3,1205901.0711939964
4,1209241.5976393665
5,1216306.2331161944
6,1218958.3218076252
7,1226789.0667122507
8,1225836.8615728153
9,1225280.8982627373
10,1233015.3500616841
11,1231246.4507683087
12,1229851.6485030702
13,1232804.3748334239
14,1233310.0061767106
15,1233853.3192358525
16,1232619.4775863658
17,1232619.4775863658
18,1232619.4775863658
19,1232619.4775863658
20,1233006.6171081406
21,1232280.695998862
22,1232509.7119668876
23,1232497.4007314814
24,1232525.9239420625
25,1232413.0450123572
26,1227169.4775985337
27,1229205.2152203075
28,1232116.0650205319
29,1232699.573461495
30,1232538.0544029446
31,1223442.6708682217
32,1220764.5933562475
33,1221049.0854611283
34,1228544.0386441816
35,1226427.242252982
36,1225516.0620019042
37,1225948.8693134286
38,1228635.317570693
39,1232245.7408406807
40,1233591.0527990162
41,1237849.9608609122
42,1239594.565128966
43,1227832.1571834513
44,1230101.7000024447
45,1230827.4743619272
46,1229602.1390012251
47,1229602.1390012251
48,1230305.6096374753
49,1230210.831917929
50,1229873.0757048028
51,1230328.7956946718
52,1231216.3718001149
53,1231818.1651249889
54,1232547.7481733772
55,1231856.7085605175
56,1231095.7761263766
57,1230068.68273525
58,1230155.858095103
59,1232379.8171047503
60,1233396.2435914676
61,1234090.1043318815
62,1238125.2134169848
