,0
0,-1788.6545115383342
1,6910.545031893766
2,10814.786377623212
3,12289.81307065417
4,-1374.7140679764561
5,0.0
6,-1982.5329858832993
7,2063.240954300156
8,-3003.893960174639
9,2885.03797428892
10,8482.265010986477
11,-2147.4729656677227
12,-1254.8999954431783
13,778.5939428301062
14,-210.39398202183656
15,-981.7528198389336
16,-209.98198594385758
17,-2683.043929187814
18,-3695.569060195936
19,-20189.82168064965
20,12298.83609407302
21,-3435.287229883019
22,17974.35995834833
23,-1216.007863854291
24,0.0
25,2789.9504741251003
26,-201.03478242782876
27,-248.85592238069512
28,-194.80181637918577
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
