,0
0,1060106.3158139212
1,1049636.207344159
2,1049377.5415575416
3,1067430.1105423346
4,1071771.5147255706
5,1078900.1594439
6,1081427.6620891425
7,1088333.2322096983
8,1089978.8822184359
9,1091434.9692446964
10,1090136.8579310304
11,1096285.9026980742
12,1092408.3132091463
13,1091497.768313173
14,1085191.1796489742
15,1095999.2797030462
16,1103353.1344999739
17,1101312.9976036774
18,1099818.8844762146
19,1093707.3037453739
20,1089358.2388401104
21,1094588.5452127159
22,1095852.1252767877
23,1106358.9373598513
24,1110785.3051611318
25,1113088.5511962925
26,1105828.0731418708
27,1111901.767686673
28,1112540.604530842
29,1118814.5064015025
30,1114213.0510599639
31,1113498.6346786788
32,1116237.6220827715
33,1113362.498642523
34,1111199.3818692276
35,1111052.9247022124
36,1109071.6216060785
37,1106258.0625816162
38,1102167.380729877
39,1108189.0955273914
40,1103357.0224217547
41,1098523.2734585842
42,1100567.3883263369
43,1106435.092274092
44,1106646.451281578
45,1107458.3121539408
46,1105751.3867534683
47,1079244.1276861625
48,1092224.9903823095
49,1079944.4121607535
50,1079683.8880471853
51,1093344.260847097
52,1080867.5576507093
53,1079235.626837036
54,1074799.0551309462
55,1085494.3823608435
56,1093593.472981508
57,1086207.384626692
58,1080423.0914254996
59,1086379.1188925942
60,1097119.564367144
61,1085112.4056997707
62,1093449.6773433352
