,0
0,1069148.039622044
1,1066012.8999344837
2,1052933.4042309257
3,1056250.8168830783
4,1054745.4319030724
5,1063848.358106521
6,1075732.889752085
7,1076240.742691229
8,1073623.1784742684
9,1079202.5296867052
10,1076794.052233924
11,1080420.9395412097
12,1077336.3473949935
13,1075288.949456494
14,1074081.7668219798
15,1076012.7101173722
16,1073051.033928775
17,1057589.5350163996
18,1052369.5148102562
19,1056071.6933446547
20,1052169.06855259
21,1047161.5893205781
22,1050381.8293541707
23,1053625.0927394466
24,1052226.8308667836
25,1065097.4495126419
26,1053284.2255807836
27,1051402.8249980933
28,1042526.3626325147
29,1055288.7298220012
30,1044340.0435938704
31,1045086.0811345694
32,1035436.5096082794
33,1042290.6970591431
34,1041074.7791599089
35,1053692.9577605631
36,1066346.771948947
37,1066371.6422145392
38,1069596.9169071289
39,1066503.9047223153
40,1065160.994061837
41,1069053.0189753883
42,1068904.343712104
43,1076587.1069423428
44,1078069.6490715027
45,1085003.2955658406
46,1083217.9326340684
47,1076520.1026815413
48,1067845.8438960745
49,1065990.7632253862
50,1062111.571641306
51,1066060.7919133995
52,1063953.2345607402
53,1071415.030616604
54,1074380.3922413446
55,1071170.534616467
56,1084897.7045837434
57,1044012.4276424679
58,1026655.681476669
59,1040273.3325536205
60,1058472.287648587
61,1073812.2009203325
62,1074916.980287255
