,0
0,-3568.8037478278857
1,4925.504900885047
2,-5111.407489990117
3,-1909.7464183771517
4,7640.138869136339
5,-18460.530977566494
6,-802.2485299878754
7,-4703.937008374138
8,1363.3087670791429
9,-188.5759525320027
10,22634.72729103407
11,4079.192350123776
12,10735.88859461085
13,5788.752050210256
14,5574.072896678932
15,-2362.751210944727
16,345.62350470595993
17,-4448.8335913033225
18,-8540.00036651222
19,2191.9285510862246
20,-4070.694113998208
21,-6617.030692446744
22,-5458.492308031535
23,-3201.987002229085
24,27007.164195067948
25,537.3751719151624
26,5617.03255609679
27,9677.580515893409
28,-902.6318803762551
29,13593.33409628924
30,-1156.696881681215
31,-508.8460050020367
32,-45.48885689023882
33,-1775.5691506089643
34,3983.072371344082
35,1502.9939147674013
36,2609.564479353139
37,4051.172179982299
38,-2543.5781357432716
39,3081.5807573897764
40,-548.9366147858091
41,3291.1016981480643
42,-1168.6072553563863
43,117.09231979236938
44,167.80184032954276
45,6033.686788136605
46,833.6237199646421
47,7398.351205454208
48,5651.896812650841
49,4212.80149905174
50,-10440.933707005577
51,4337.33454139973
52,4462.352307222085
53,2129.407424712321
54,896.344135264866
55,-558.2812016019598
56,-924.4390944452025
57,1156.3827732966747
58,-313.59208083106205
59,-7429.078542041127
60,-789.1407351507805
61,-4070.3317002409603
