,0
0,1000000.0
1,999284.5842305399
2,994796.6964881767
3,983484.8913528853
4,978232.9195744176
5,979933.1362029756
6,987165.9994919116
7,963138.5545338197
8,976807.8981133354
9,951989.8597065852
10,950044.6196447652
11,933304.446128649
12,939553.7500937986
13,958150.9376427153
14,944591.1334853227
15,955660.3303846383
16,933037.22825448
17,936705.5584611493
18,962595.2878771544
19,961632.7189208396
20,959651.7852914697
21,959520.6945120258
22,959520.6945120258
23,959520.6945120258
24,959520.6945120258
25,959520.6945120258
26,959520.6945120258
27,957029.4107385194
28,962489.4104749658
29,968489.7263159028
30,980234.9726046398
31,978306.2059583823
32,976678.8144961952
33,991539.6864268667
34,978761.1713105887
35,981297.1597623079
36,991633.2176293029
37,989323.3460422972
38,981321.3909045182
39,1006688.3975130173
40,1007059.3393084581
41,1011219.3626141704
42,1013852.4064278164
43,1015982.3425290226
44,1008926.2032697875
45,1015641.1998894118
46,1014978.1953976662
47,1032395.2377026565
48,1032959.2497931664
49,1035487.168396441
50,1042741.1756755827
51,1052900.1901292908
52,1060026.2256570002
53,1061013.1939921738
54,1058482.1574531842
55,1052670.1600179735
56,1054060.2088431676
57,1055326.1822481987
58,1061271.1194562896
59,1065479.096906442
60,1063706.0691552493
61,1070822.0582537723
62,1069148.039622044
