,0
0,1372651.2733239215
1,1372038.2156918775
2,1371933.6334639036
3,1371933.6334639036
4,1371933.6334639036
5,1371933.6334639036
6,1371933.6334639036
7,1371933.6334639036
8,1371933.6334639036
9,1371933.6334639036
10,1371933.6334639036
11,1371933.6334639036
12,1371933.6334639036
13,1371933.6334639036
14,1371933.6334639036
15,1371933.6334639036
16,1371933.6334639036
17,1371933.6334639036
18,1371933.6334639036
19,1371933.6334639036
20,1371933.6334639036
21,1371933.6334639036
22,1371933.6334639036
23,1371933.6334639036
24,1371933.6334639036
25,1371933.6334639036
26,1371933.6334639036
27,1371933.6334639036
28,1371933.6334639036
29,1371933.6334639036
30,1371933.6334639036
31,1371933.6334639036
32,1371933.6334639036
33,1371933.6334639036
34,1371933.6334639036
35,1371933.6334639036
36,1371933.6334639036
37,1371637.2294237486
38,1371506.5652649987
39,1371506.5652649987
40,1371506.5652649987
41,1371506.5652649987
42,1377622.4892667625
43,1377451.204041259
44,1377451.204041259
45,1377451.204041259
46,1377451.204041259
47,1377451.204041259
48,1377451.204041259
49,1377451.204041259
50,1377451.204041259
51,1377451.204041259
52,1377451.204041259
53,1377451.204041259
54,1377451.204041259
55,1377451.204041259
56,1377451.204041259
57,1377451.204041259
58,1377451.204041259
59,1377451.204041259
60,1377451.204041259
61,1377451.204041259
62,1377451.204041259
