,0
0,6115.869136023568
1,7769.171427121386
2,1027.5685213629622
3,2129.351685404079
4,1345.8389877218287
5,7747.348569237161
6,-1328.8373115907889
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,-123.70842407993041
13,-148.73220473667607
14,0.0
15,0.0
16,-1756.1422242808621
17,-2870.5472312904894
18,-1188.1019638436846
19,-440.38572368212044
20,0.0
21,0.0
22,3379.2832539714873
23,-1660.3955102823675
24,-279.14163207798265
25,2235.14374067029
26,5023.849811401684
27,170.0558555831667
28,7225.111516944831
29,9359.262935881736
30,-232.65976817696355
31,-8087.731613755226
32,-8493.684327778406
33,5844.765416752081
34,22839.214254734572
35,17893.153469091747
36,-17673.214647592045
37,-21772.813700031955
38,-1336.7448131658603
39,-253.2781217910815
40,2856.920447114622
41,1200.452968813479
42,-3525.1642523268238
43,5669.803981824545
44,16346.872507613618
45,-5394.353873518296
46,-6295.587640843587
47,-14237.060979028698
48,1236.3274231408723
49,4313.044187532039
50,-20686.076233890373
51,5256.8543007187545
52,-1811.702641245909
53,-35265.40795875015
54,-27565.634264544817
55,34796.26000067196
56,-17749.357917488785
57,-2608.014191302005
58,11625.805336309364
59,-28434.00575288711
60,18989.098104257137
61,15525.716165403137
