,0
0,1439936.0569671844
1,1440304.3868238183
2,1440131.1754360935
3,1440131.1754360935
4,1440131.1754360935
5,1439844.943060822
6,1438297.838301096
7,1441313.3775598686
8,1448451.9333798112
9,1457362.8587720254
10,1470423.902686702
11,1451466.1776944054
12,1450201.539076327
13,1450201.539076327
14,1450201.539076327
15,1450201.539076327
16,1450201.539076327
17,1450201.539076327
18,1450201.539076327
19,1450201.539076327
20,1450201.539076327
21,1450201.539076327
22,1450201.539076327
23,1450201.539076327
24,1450201.539076327
25,1450201.539076327
26,1450201.539076327
27,1450201.539076327
28,1450201.539076327
29,1450201.539076327
30,1450201.539076327
31,1450201.539076327
32,1450201.539076327
33,1451529.9594541418
34,1451335.8678971068
35,1451335.8678971068
36,1451335.8678971068
37,1451335.8678971068
38,1451335.8678971068
39,1451335.8678971068
40,1451335.8678971068
41,1451335.8678971068
42,1451335.8678971068
43,1451335.8678971068
44,1451335.8678971068
45,1449220.3387905457
46,1450868.750509655
47,1450403.144508412
48,1449825.8346549377
49,1449825.8346549377
50,1449825.8346549377
51,1448660.7188554476
52,1450798.6303755916
53,1450412.0151150927
54,1450412.0151150927
55,1450412.0151150927
56,1450412.0151150927
57,1450412.0151150927
58,1451830.1011640304
59,1457383.6256329545
60,1441097.6000761497
61,1440527.452935526
62,1440527.452935526
