,0
0,1238125.2134169848
1,1239759.5245756572
2,1245322.454375418
3,1245273.1629172405
4,1243991.7912916061
5,1245691.1868107272
6,1246009.1839151678
7,1243418.548624949
8,1243913.6133454933
9,1246228.606691042
10,1244163.265708129
11,1254048.1803842385
12,1252925.594540683
13,1258439.3717125643
14,1255218.5527736573
15,1260876.2841261658
16,1256130.3736742318
17,1260748.3717405268
18,1265051.076283431
19,1263962.358402445
20,1263962.358402445
21,1264112.3122108243
22,1264171.040900171
23,1264173.2796398674
24,1263350.9373309752
25,1263859.1119843312
26,1264186.2884378615
27,1261336.5396493284
28,1259819.5411190973
29,1260904.0613696806
30,1260988.2318862318
31,1258216.162816139
32,1262725.1504903613
33,1262073.320015451
34,1262347.1880051112
35,1263325.8860179384
36,1262291.2762016684
37,1262541.9362268588
38,1262610.884392675
39,1267522.2376811174
40,1269801.5394317876
41,1275450.595609153
42,1274034.4561273898
43,1277372.0800214722
44,1274183.363316608
45,1272986.2678521916
46,1275582.5129756965
47,1278789.817578956
48,1280102.5190795343
49,1284560.8444454498
50,1288052.2089318284
51,1283054.5818196875
52,1289009.8542920267
53,1293631.0605970472
54,1290719.6681353021
55,1289241.1345015848
56,1295528.7271801424
57,1293747.3144973482
58,1294000.7107442678
59,1296544.4078101804
60,1299385.6048557004
61,1293926.836107211
62,1298073.5573671185
