,0
0,1320266.9567859168
1,1319019.4996452506
2,1318880.426018844
3,1318880.426018844
4,1318880.426018844
5,1318880.426018844
6,1318880.426018844
7,1321110.0435336903
8,1319662.8995802768
9,1327747.3059271541
10,1324749.0897055888
11,1324291.1946921754
12,1324291.1946921754
13,1324291.1946921754
14,1324291.1946921754
15,1324291.1946921754
16,1324291.1946921754
17,1324291.1946921754
18,1324291.1946921754
19,1324291.1946921754
20,1324291.1946921754
21,1324291.1946921754
22,1324291.1946921754
23,1324291.1946921754
24,1324291.1946921754
25,1324291.1946921754
26,1324291.1946921754
27,1324291.1946921754
28,1324291.1946921754
29,1324291.1946921754
30,1324291.1946921754
31,1324291.1946921754
32,1324291.1946921754
33,1324291.1946921754
34,1324291.1946921754
35,1324291.1946921754
36,1324291.1946921754
37,1324291.1946921754
38,1324291.1946921754
39,1324291.1946921754
40,1324291.1946921754
41,1324291.1946921754
42,1324291.1946921754
43,1324291.1946921754
44,1324291.1946921754
45,1324291.1946921754
46,1324469.571318097
47,1322649.4890638469
48,1322353.3841047331
49,1322353.3841047331
50,1322353.3841047331
51,1322353.3841047331
52,1322353.3841047331
53,1322353.3841047331
54,1322353.3841047331
55,1322353.3841047331
56,1318340.7369722414
57,1330169.3273693558
58,1333045.3719683904
59,1332784.7637955968
60,1332784.7637955968
61,1332784.7637955968
62,1332784.7637955968
