,0
0,1298073.5573671185
1,1308827.508866418
2,1316596.6802935393
3,1317624.2488149023
4,1319753.6005003063
5,1321099.4394880282
6,1328846.7880572653
7,1327517.9507456745
8,1327517.9507456745
9,1327517.9507456745
10,1327517.9507456745
11,1327517.9507456745
12,1327517.9507456745
13,1327394.2423215946
14,1327245.510116858
15,1327245.510116858
16,1327245.510116858
17,1325489.367892577
18,1322618.8206612866
19,1321430.718697443
20,1320990.3329737608
21,1320990.3329737608
22,1320990.3329737608
23,1324369.6162277323
24,1322709.22071745
25,1322430.079085372
26,1324665.2228260422
27,1329689.072637444
28,1329859.128493027
29,1337084.240009972
30,1346443.5029458536
31,1346210.8431776767
32,1338123.1115639214
33,1329629.427236143
34,1335474.192652895
35,1358313.4069076297
36,1376206.5603767214
37,1358533.3457291294
38,1336760.5320290974
39,1335423.7872159316
40,1335170.5090941405
41,1338027.429541255
42,1339227.8825100686
43,1335702.7182577418
44,1341372.5222395663
45,1357719.39474718
46,1352325.0408736616
47,1346029.453232818
48,1331792.3922537894
49,1333028.7196769302
50,1337341.7638644623
51,1316655.687630572
52,1321912.5419312906
53,1320100.8392900447
54,1284835.4313312946
55,1257269.7970667498
56,1292066.0570674217
57,1274316.699149933
58,1271708.684958631
59,1283334.4902949403
60,1254900.4845420532
61,1273889.5826463103
62,1289415.2988117135
