,0
0,8075.8078469689935
1,-13079.495703557972
2,3317.4126521525905
3,-1505.3849800059106
4,9102.926203448558
5,11884.53164556413
6,507.8529391440097
7,-2617.564216960687
8,5579.351212436799
9,-2408.4774527812842
10,3626.887307285797
11,-3084.592146216193
12,-2047.39793849946
13,-1207.1826345142908
14,1930.9432953924406
15,-2961.676188597223
16,-15461.49891237542
17,-5220.020206143381
18,3702.178534398554
19,-3902.624792064773
20,-5007.479232011829
21,3220.240033592563
22,3243.2633852758445
23,-1398.2618726629298
24,12870.618645858252
25,-11813.223931858316
26,-1881.4005826902576
27,-8876.462365578627
28,12762.367189486511
29,-10948.686228130828
30,746.0375406990061
31,-9649.571526289918
32,6854.187450863654
33,-1215.9178992342204
34,12618.178600654239
35,12653.814188383985
36,24.87026559212245
37,3225.27469258965
38,-3093.0121848136187
39,-1342.9106604782864
40,3892.024913551286
41,-148.67526328423992
42,7682.763230238808
43,1482.542129159905
44,6933.646494337823
45,-1785.3629317721352
46,-6697.82995252707
47,-8674.258785466896
48,-1855.0806706883013
49,-3879.191584080225
50,3949.2202720935456
51,-2107.5573526592925
52,7461.796055863844
53,2965.36162474053
54,-3209.857624877477
55,13727.169967276277
56,-40885.27694127546
57,-17356.74616579886
58,13617.651076951413
59,18198.95509496657
60,15339.913271745434
61,1104.7793669225648
