,0
0,1341638.2594962707
1,1339837.7836109241
2,1339631.900641876
3,1339631.900641876
4,1339631.900641876
5,1339631.900641876
6,1339631.900641876
7,1339631.900641876
8,1339631.900641876
9,1339631.900641876
10,1339631.900641876
11,1339631.900641876
12,1339631.900641876
13,1339631.900641876
14,1339631.900641876
15,1339631.900641876
16,1339631.900641876
17,1339631.900641876
18,1339631.900641876
19,1339631.900641876
20,1339631.900641876
21,1339631.900641876
22,1339631.900641876
23,1339631.900641876
24,1339631.900641876
25,1339631.900641876
26,1339631.900641876
27,1339631.900641876
28,1339631.900641876
29,1339631.900641876
30,1339631.900641876
31,1339631.900641876
32,1339631.900641876
33,1339631.900641876
34,1339631.900641876
35,1339631.900641876
36,1339631.900641876
37,1339631.900641876
38,1339631.900641876
39,1339631.900641876
40,1339631.900641876
41,1339631.900641876
42,1339631.900641876
43,1339631.900641876
44,1339631.900641876
45,1339631.900641876
46,1339631.900641876
47,1339631.900641876
48,1339631.900641876
49,1339631.900641876
50,1339631.900641876
51,1339631.900641876
52,1339631.900641876
53,1339631.900641876
54,1339631.900641876
55,1339631.900641876
56,1338899.974180402
57,1337398.5660045147
58,1338423.8028548565
59,1338304.627037574
60,1342008.4282990047
61,1350442.446494888
62,1349948.262380457
