,0
0,-2601.5827955929562
1,1115.0840686976444
2,847.4965965582523
3,957.9357127435505
4,772.8329799112398
5,-4212.10101733217
6,-7312.567962228553
7,9014.105196886696
8,-9303.44333465281
9,-6026.569571234053
10,9505.667243810836
11,-81.65713356109336
12,10653.544028834673
13,13617.773285590578
14,-1974.6317879592534
15,-3.102812539320439
16,-182.33699291059747
17,-398.84590398776345
18,524.529799384065
19,270.9825564660132
20,-3011.640600374667
21,7705.267614368582
22,2179.3846593785565
23,-531.4945379360579
24,-7737.973959466908
25,2845.3433894778136
26,-479.99099200428464
27,1673.6318950408604
28,-1298.8437238552142
29,-24828.38834718312
30,1425.8711283141747
31,8956.442806692095
32,3354.5418890011497
33,808.4992560739629
34,2602.7458530813456
35,-2852.377063625725
36,1437.7503718931694
37,-4543.915635429556
38,-1593.7046029341873
39,6380.209656591527
40,1213.1315626229625
41,-4031.576468868414
42,1152.5129435781855
43,1275.1342705250718
44,-3635.9399715124164
45,-3205.414541887585
46,-6521.895226184512
47,5674.163841943257
48,-7241.111473343102
49,-1655.8879047113005
50,-3048.668297227472
51,13463.083115831716
52,-8521.750692217378
53,-2281.7939979461953
54,-2151.1293613032904
55,2172.521036500577
56,-213.74856445682235
57,-8783.126505935797
58,11539.60520079569
59,-12975.149018839933
60,3567.7948053819127
61,4323.732628052821
