,0
0,252.3514463668689
1,6011.574565707473
2,3945.8549060877413
3,-7443.59975412162
4,7605.618876691675
5,3922.7963006251957
6,6684.14440532797
7,2407.5463475417346
8,5259.564042539801
9,-6554.51171202003
10,-2951.632825746201
11,-1444.71465397859
12,7332.814480085392
13,5848.325898313429
14,5548.427791528404
15,1399.9418339352123
16,-8392.839480514638
17,3637.519626941532
18,-10519.210090284236
19,-1319.7401581692975
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,-1059.188000000082
34,-1640.318000000203
35,2020.408000000054
36,6691.6720000000205
37,-115.04799999995157
38,379.9370000001509
39,-10442.642560000066
40,-3038.2571499999613
41,-1311.2003599999007
42,181.36300000012852
43,436.99300000001676
44,-1950.3199999998324
45,-108.73300000000745
46,3926.246999999974
47,-947.8800000001211
48,0.0
49,0.0
50,0.0
51,1731.410000000149
52,-192.51199999987148
53,1529.1629999999423
54,2324.439999999944
55,-5653.820000000065
56,-147.0010000001639
57,-3890.013000000268
58,915.7260000000242
59,2742.9425600001123
60,10784.691349999746
61,-1321.5688699998427
