,0
0,1377824.7092965243
1,1376900.3300597137
2,1376779.013895051
3,1376779.013895051
4,1376779.013895051
5,1376779.013895051
6,1376779.013895051
7,1376779.013895051
8,1376779.013895051
9,1376779.013895051
10,1376779.013895051
11,1376779.013895051
12,1376779.013895051
13,1376779.013895051
14,1376779.013895051
15,1376779.013895051
16,1376779.013895051
17,1376779.013895051
18,1376779.013895051
19,1376779.013895051
20,1376779.013895051
21,1376779.013895051
22,1376779.013895051
23,1376779.013895051
24,1376779.013895051
25,1376779.013895051
26,1376779.013895051
27,1376779.013895051
28,1376779.013895051
29,1376779.013895051
30,1376779.013895051
31,1376779.013895051
32,1376779.013895051
33,1376779.013895051
34,1372781.1118230629
35,1372651.2733239215
36,1372651.2733239215
37,1372651.2733239215
38,1372651.2733239215
39,1372651.2733239215
40,1372651.2733239215
41,1372651.2733239215
42,1372651.2733239215
43,1372651.2733239215
44,1372651.2733239215
45,1372651.2733239215
46,1372651.2733239215
47,1372651.2733239215
48,1372651.2733239215
49,1372651.2733239215
50,1372651.2733239215
51,1372651.2733239215
52,1372651.2733239215
53,1372651.2733239215
54,1372651.2733239215
55,1372651.2733239215
56,1372651.2733239215
57,1372651.2733239215
58,1372651.2733239215
59,1372651.2733239215
60,1372651.2733239215
61,1372651.2733239215
62,1372651.2733239215
