,0
0,1349948.262380457
1,1344708.2679814524
2,1351618.8130133462
3,1362433.5993909694
4,1374723.4124616235
5,1373348.698393647
6,1373348.698393647
7,1371366.1654077638
8,1373429.406362064
9,1370425.5124018893
10,1373310.5503761782
11,1381792.8153871647
12,1379645.342421497
13,1378390.4424260538
14,1379169.036368884
15,1378958.642386862
16,1377976.8895670231
17,1377766.9075810793
18,1375083.8636518915
19,1371388.2945916955
20,1351198.472911046
21,1363497.309005119
22,1360062.021775236
23,1378036.3817335842
24,1376820.37386973
25,1376820.37386973
26,1379610.324343855
27,1379409.2895614272
28,1379160.4336390465
29,1378965.6318226673
30,1378965.6318226673
31,1378965.6318226673
32,1378965.6318226673
33,1378965.6318226673
34,1378965.6318226673
35,1378965.6318226673
36,1378965.6318226673
37,1378965.6318226673
38,1378965.6318226673
39,1378965.6318226673
40,1378965.6318226673
41,1378965.6318226673
42,1378965.6318226673
43,1378965.6318226673
44,1378965.6318226673
45,1378965.6318226673
46,1378965.6318226673
47,1378965.6318226673
48,1378965.6318226673
49,1378965.6318226673
50,1378965.6318226673
51,1378965.6318226673
52,1378965.6318226673
53,1378965.6318226673
54,1378965.6318226673
55,1378965.6318226673
56,1378965.6318226673
57,1378965.6318226673
58,1378965.6318226673
59,1378965.6318226673
60,1378965.6318226673
61,1378965.6318226673
62,1378965.6318226673
