,0
0,1289415.2988117135
1,1270912.5057343328
2,1276698.9574164362
3,1300598.975394089
4,1289510.2382558987
5,1308719.7902609294
6,1303626.8328508588
7,1316067.8904010567
8,1324051.6211323906
9,1323972.1089429697
10,1319113.5525605648
11,1317845.6274315713
12,1317845.6274315713
13,1317845.6274315713
14,1317845.6274315713
15,1317845.6274315713
16,1317845.6274315713
17,1317845.6274315713
18,1317845.6274315713
19,1317845.6274315713
20,1317845.6274315713
21,1317845.6274315713
22,1317845.6274315713
23,1317845.6274315713
24,1317845.6274315713
25,1317845.6274315713
26,1317845.6274315713
27,1317845.6274315713
28,1316784.6287853462
29,1316861.0278862445
30,1316618.7972262888
31,1316650.6020772606
32,1318721.9537075697
33,1317710.8404489602
34,1317532.1832881137
35,1316042.7735942097
36,1315292.8319256543
37,1306790.1148831923
38,1313601.265344237
39,1306294.951847094
40,1312750.5029337604
41,1319100.234317559
42,1318223.401718536
43,1329228.8808359404
44,1336715.1615943545
45,1340348.8009733562
46,1341527.7736520758
47,1340733.2165244771
48,1337071.2503356636
49,1338489.0050464803
50,1335151.276198064
51,1330148.205289414
52,1320285.7754943185
53,1315551.4459524108
54,1308922.388726666
55,1314959.8208916492
56,1299462.2137724236
57,1300984.8665864489
58,1293519.1783472148
59,1297084.078347122
60,1298531.857309131
61,1297233.3939595215
62,1296210.7934102155
