,0
0,1216613.685123381
1,1218777.822072203
2,1219892.9061409007
3,1220740.402737459
4,1221698.3384502025
5,1222471.1714301137
6,1218259.0704127816
7,1210946.502450553
8,1219960.6076474397
9,1210657.164312787
10,1204630.5947415528
11,1214136.2619853637
12,1214054.6048518026
13,1224708.1488806373
14,1238325.9221662278
15,1236351.2903782686
16,1236348.1875657293
17,1236165.8505728187
18,1235767.004668831
19,1236291.534468215
20,1236562.517024681
21,1233550.8764243063
22,1241256.144038675
23,1243435.5286980534
24,1242904.0341601174
25,1235166.0602006505
26,1238011.4035901283
27,1237531.412598124
28,1239205.0444931649
29,1237906.2007693097
30,1213077.8124221265
31,1214503.6835504407
32,1223460.1263571328
33,1226814.668246134
34,1227623.167502208
35,1230225.9133552893
36,1227373.5362916635
37,1228811.2866635567
38,1224267.3710281271
39,1222673.666425193
40,1229053.8760817845
41,1230267.0076444075
42,1226235.431175539
43,1227387.9441191172
44,1228663.0783896423
45,1225027.1384181299
46,1221821.7238762423
47,1215299.8286500578
48,1220973.992492001
49,1213732.881018658
50,1212076.9931139466
51,1209028.3248167192
52,1222491.4079325509
53,1213969.6572403335
54,1211687.8632423873
55,1209536.733881084
56,1211709.2549175846
57,1211495.5063531278
58,1202712.379847192
59,1214251.9850479877
60,1201276.8360291477
61,1204844.6308345296
62,1209168.3634625825
