,0
0,5198.71647471725
1,-2250.3202661133837
2,14185.337379866512
3,3955.8633941547014
4,7563.228910210775
5,4616.627451794455
6,8552.316220155219
7,-305.9532534668688
8,-474.17851652391255
9,-334.6458938133437
10,8685.167312472593
11,-4063.329035921721
12,5013.958975390764
13,-4078.0522790274117
14,2784.782203071052
15,-2463.7272630147636
16,-862.3289969952311
17,-2292.4072749218903
18,362.5192761211656
19,-5424.956745750969
20,3659.8556106968317
21,1886.0800654073246
22,11652.15873589646
23,-2941.8660615405533
24,-520.5400323169306
25,1280.0488303345628
26,6422.412956031039
27,-2392.845026986208
28,195.52992941020057
29,-5358.820450514089
30,1104.388213712955
31,4029.212973743677
32,-4082.8702953453176
33,60.73969149659388
34,-551.2688196129166
35,-8934.880176254548
36,-8766.66879308573
37,-3322.6333015460987
38,6963.26743573742
39,-20.039582195458934
40,-3429.370149378665
41,1690.6142674409784
42,3619.689752594335
43,613.7163867740892
44,2096.9532751219813
45,133.25658129760996
46,-21312.521592652192
47,15861.73322075745
48,-16671.77102373913
49,-5742.229767741635
50,12655.004642538028
51,1550.8974790468346
52,-2223.5702719318215
53,-1923.1900609356817
54,11258.357677308377
55,7028.873101173667
56,-7445.219924631761
57,-10512.049588783178
58,11578.242647590348
59,6278.473422973417
60,-12460.778284749947
61,12285.592420779169
